epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,875.717,1.04361,0.60919,0.00837,0.84742,0.86393,0.90122,0.62262,1.03893,0.64861,0.00988,0.000462281,0.000462281,0.000462281
43,896.514,1.02307,0.5898,0.00808,0.83146,0.89638,0.91158,0.63772,1.04575,0.63405,0.00997,0.000438703,0.000438703,0.000438703
44,916.386,1.03264,0.60935,0.00831,0.84051,0.89177,0.91482,0.62573,1.04996,0.6149,0.00988,0.000415124,0.000415124,0.000415124
45,937.208,1.02193,0.58866,0.00825,0.81676,0.89838,0.90208,0.63534,1.02569,0.63794,0.00975,0.000391546,0.000391546,0.000391546
46,957.065,1.01247,0.58068,0.008,0.81896,0.86909,0.88822,0.60339,1.04427,0.64533,0.00985,0.000367967,0.000367967,0.000367967
47,977.7,0.99502,0.578,0.00784,0.8296,0.91106,0.90716,0.63181,1.05155,0.62354,0.00993,0.000344389,0.000344389,0.000344389
48,997.565,1.00295,0.57549,0.008,0.82567,0.87653,0.89766,0.61643,1.05901,0.65671,0.00991,0.00032081,0.00032081,0.00032081
49,1018.4,0.99545,0.55945,0.00785,0.81142,0.91223,0.90661,0.63462,1.04589,0.61898,0.00991,0.000297232,0.000297232,0.000297232
50,1038.34,0.99152,0.56067,0.00779,0.85245,0.88817,0.91007,0.63183,1.05154,0.62658,0.01002,0.000273654,0.000273654,0.000273654
51,1060.67,0.97917,0.51567,0.00943,0.84201,0.90669,0.90748,0.63876,1.0509,0.6437,0.00997,0.000250075,0.000250075,0.000250075
52,1080.54,0.97065,0.49973,0.00916,0.84629,0.87637,0.90645,0.6299,1.04172,0.62523,0.00982,0.000226497,0.000226497,0.000226497
53,1100.02,0.95388,0.48002,0.00894,0.82309,0.90538,0.90405,0.6314,1.04426,0.62852,0.0099,0.000202918,0.000202918,0.000202918
54,1119.99,0.93549,0.46609,0.00886,0.81441,0.91022,0.90048,0.63105,1.0478,0.64406,0.00992,0.00017934,0.00017934,0.00017934
55,1139.55,0.9441,0.46517,0.00893,0.86472,0.88492,0.90919,0.63491,1.03644,0.61597,0.0098,0.000155761,0.000155761,0.000155761
56,1159.53,0.93045,0.46091,0.00892,0.84295,0.88926,0.91289,0.63349,1.04433,0.65564,0.00987,0.000132183,0.000132183,0.000132183
57,1179.2,0.92335,0.44873,0.00857,0.83568,0.89754,0.91603,0.636,1.03603,0.63367,0.00979,0.000108604,0.000108604,0.000108604
58,1199.24,0.91095,0.44638,0.00843,0.84215,0.89183,0.90782,0.62975,1.03206,0.63718,0.00975,8.50255e-05,8.50255e-05,8.50255e-05
59,1218.65,0.90886,0.42967,0.00836,0.85503,0.8805,0.90622,0.6344,1.02585,0.64249,0.00967,6.1447e-05,6.1447e-05,6.1447e-05
60,1238.39,0.90918,0.43025,0.00853,0.85513,0.88622,0.91077,0.63787,1.02927,0.63585,0.0097,3.78685e-05,3.78685e-05,3.78685e-05
